ISP_ASN, prefix, {geolocation}
TEXAS-UNI_AS3354, 207.64.140.0/22, {'207.64.140.100': {'city': 'Dallas', 'state': 'Texas'}, '207.64.143.100': {'city': 'Dallas', 'state': 'Texas'}}
TEXAS-UNI_AS3354, 198.215.70.0/24, {'198.215.70.50': {'city': None, 'state': None}, '198.215.70.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 198.215.66.0/24, {'198.215.66.50': {'city': None, 'state': None}, '198.215.66.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 198.215.71.0/24, {'198.215.71.50': {'city': None, 'state': None}, '198.215.71.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 198.215.77.0/24, {'198.215.77.50': {'city': None, 'state': None}, '198.215.77.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 207.64.143.0/24, {'207.64.143.50': {'city': 'Dallas', 'state': 'Texas'}, '207.64.143.150': {'city': 'Dallas', 'state': 'Texas'}}
TEXAS-UNI_AS3354, 198.215.76.0/24, {'198.215.76.50': {'city': None, 'state': None}, '198.215.76.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 198.215.74.0/24, {'198.215.74.50': {'city': None, 'state': None}, '198.215.74.150': {'city': None, 'state': None}}
TEXAS-UNI_AS3354, 207.64.142.0/24, {'207.64.142.50': {'city': 'Dallas', 'state': 'Texas'}, '207.64.142.150': {'city': 'Dallas', 'state': 'Texas'}}
CENTURYLINK_AS209, 69.32.250.0/24, {'69.32.250.50': {'city': None, 'state': None}, '69.32.250.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 216.106.154.0/24, {'216.106.154.50': {'city': None, 'state': None}, '216.106.154.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 75.121.28.0/22, {'75.121.28.100': {'city': 'Marshfield', 'state': 'Missouri'}, '75.121.31.100': {'city': 'Marshfield', 'state': 'Missouri'}}
CENTURYLINK_AS209, 198.50.6.0/24, {'198.50.6.50': {'city': 'Salt Lake City', 'state': 'Utah'}, '198.50.6.150': {'city': 'Salt Lake City', 'state': 'Utah'}}
CENTURYLINK_AS209, 198.50.3.0/24, {'198.50.3.50': {'city': 'Salt Lake City', 'state': 'Utah'}, '198.50.3.150': {'city': 'Salt Lake City', 'state': 'Utah'}}
CENTURYLINK_AS209, 169.197.183.0/24, {'169.197.183.50': {'city': 'Killeen', 'state': 'Texas'}, '169.197.183.150': {'city': 'Killeen', 'state': 'Texas'}}
