ISP_ASN, prefix, {geolocation}
ATT_AS7018, 65.204.150.0/24, {'65.204.150.50': {'city': 'Salt Lake City', 'state': 'Utah'}, '65.204.150.150': {'city': 'Salt Lake City', 'state': 'Utah'}}
ATT_AS7018, 162.245.187.0/24, {'162.245.187.50': {'city': 'Frisco', 'state': 'Texas'}, '162.245.187.150': {'city': 'New York City', 'state': 'New York'}}
ATT_AS7018, 104.223.78.0/24, {'104.223.78.50': {'city': 'Los Angeles', 'state': 'California'}, '104.223.78.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 155.94.172.0/24, {'155.94.172.50': {'city': 'Los Angeles', 'state': 'California'}, '155.94.172.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 155.94.236.0/24, {'155.94.236.50': {'city': 'Los Angeles', 'state': 'California'}, '155.94.236.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 199.29.211.0/24, {'199.29.211.50': {'city': 'Washington', 'state': 'Washington, D.C.'}, '199.29.211.150': {'city': 'Washington', 'state': 'Washington, D.C.'}}
ATT_AS7018, 198.199.13.0/24, {'198.199.13.50': {'city': 'Hurst', 'state': 'Texas'}, '198.199.13.150': {'city': 'Hurst', 'state': 'Texas'}}
ATT_AS7018, 155.94.202.0/24, {'155.94.202.50': {'city': 'Los Angeles', 'state': 'California'}, '155.94.202.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 104.223.43.0/24, {'104.223.43.50': {'city': 'Los Angeles', 'state': 'California'}, '104.223.43.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 209.54.108.0/24, {'209.54.108.50': {'city': 'Los Angeles', 'state': 'California'}, '209.54.108.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 67.215.249.0/24, {'67.215.249.50': {'city': 'Los Angeles', 'state': 'California'}, '67.215.249.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 107.150.27.0/24, {'107.150.27.50': {'city': 'Elk Grove Village', 'state': 'Illinois'}, '107.150.27.150': {'city': 'Elk Grove Village', 'state': 'Illinois'}}
ATT_AS7018, 162.245.188.0/24, {'162.245.188.50': {'city': 'New York City', 'state': 'New York'}, '162.245.188.150': {'city': 'Frisco', 'state': 'Texas'}}
ATT_AS7018, 96.44.169.0/24, {'96.44.169.50': {'city': 'Los Angeles', 'state': 'California'}, '96.44.169.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 198.246.160.0/21, {'198.246.160.100': {'city': 'Galveston', 'state': 'Texas'}, '198.246.163.100': {'city': 'Dallas', 'state': 'Texas'}, '198.246.166.100': {'city': 'Dallas', 'state': 'Texas'}}
ATT_AS7018, 155.94.162.0/24, {'155.94.162.50': {'city': 'Los Angeles', 'state': 'California'}, '155.94.162.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 167.160.162.0/24, {'167.160.162.50': {'city': 'Miami', 'state': 'Florida'}, '167.160.162.150': {'city': 'Miami', 'state': 'Florida'}}
ATT_AS7018, 72.11.138.0/24, {'72.11.138.50': {'city': 'Los Angeles', 'state': 'California'}, '72.11.138.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 104.223.60.0/24, {'104.223.60.50': {'city': 'Los Angeles', 'state': 'California'}, '104.223.60.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 199.29.213.0/24, {'199.29.213.50': {'city': 'Washington', 'state': 'Washington, D.C.'}, '199.29.213.150': {'city': 'Washington', 'state': 'Washington, D.C.'}}
ATT_AS7018, 156.96.40.0/24, {'156.96.40.50': {'city': 'New York City', 'state': 'New York'}, '156.96.40.150': {'city': 'New York City', 'state': 'New York'}}
ATT_AS7018, 66.63.180.0/24, {'66.63.180.50': {'city': 'New York City', 'state': 'New York'}, '66.63.180.150': {'city': 'New York City', 'state': 'New York'}}
ATT_AS7018, 162.255.213.0/24, {'162.255.213.50': {'city': 'Mansfield', 'state': 'Massachusetts'}, '162.255.213.150': {'city': 'Mansfield', 'state': 'Massachusetts'}}
ATT_AS7018, 104.223.73.0/24, {'104.223.73.50': {'city': 'Los Angeles', 'state': 'California'}, '104.223.73.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 162.255.209.0/24, {'162.255.209.50': {'city': 'Boston', 'state': 'Massachusetts'}, '162.255.209.150': {'city': 'Boston', 'state': 'Massachusetts'}}
ATT_AS7018, 104.223.74.0/24, {'104.223.74.50': {'city': 'New York City', 'state': 'New York'}, '104.223.74.150': {'city': 'New York City', 'state': 'New York'}}
ATT_AS7018, 72.11.153.0/24, {'72.11.153.50': {'city': 'Los Angeles', 'state': 'California'}, '72.11.153.150': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 167.160.180.0/23, {'167.160.180.100': {'city': 'Los Angeles', 'state': 'California'}, '167.160.181.100': {'city': 'Los Angeles', 'state': 'California'}}
ATT_AS7018, 199.29.212.0/24, {'199.29.212.50': {'city': 'Washington', 'state': 'Washington, D.C.'}, '199.29.212.150': {'city': 'Washington', 'state': 'Washington, D.C.'}}
ATT_AS7018, 23.226.136.0/22, {'23.226.136.100': {'city': 'New York City', 'state': 'New York'}, '23.226.139.100': {'city': 'Jacksonville', 'state': 'Florida'}}
TEXAS-GIGA-POP_AS22645, 199.115.210.0/24, {'199.115.210.50': {'city': 'Alpine', 'state': 'Texas'}, '199.115.210.150': {'city': 'Alpine', 'state': 'Texas'}}
TEXAS-GIGA-POP_AS22645, 199.115.208.0/23, {'199.115.208.100': {'city': 'Alpine', 'state': 'Texas'}, '199.115.209.100': {'city': 'Alpine', 'state': 'Texas'}}
TEXAS-UNI-AUSTIN_AS3354, 198.215.64.0/24, {'198.215.64.50': {'city': 'Dallas', 'state': 'Texas'}, '198.215.64.150': {'city': 'Dallas', 'state': 'Texas'}}
GRANDE_AS7459, 66.90.129.0/24, {'66.90.129.50': {'city': 'San Marcos', 'state': 'Texas'}, '66.90.129.150': {'city': 'San Marcos', 'state': 'Texas'}}
TEXAS-UNI_AS3354, 198.215.64.0/24, {'198.215.64.50': {'city': 'Dallas', 'state': 'Texas'}, '198.215.64.150': {'city': 'Dallas', 'state': 'Texas'}}
COMCAST_AS7922, 208.166.62.0/23, {'208.166.62.100': {'city': 'Baltimore', 'state': 'Maryland'}, '208.166.63.100': {'city': 'Baltimore', 'state': 'Maryland'}}
COMCAST_AS7922, 208.166.59.0/24, {'208.166.59.50': {'city': 'Baltimore', 'state': 'Maryland'}, '208.166.59.150': {'city': 'Baltimore', 'state': 'Maryland'}}
COMCAST_AS7922, 208.69.180.0/23, {'208.69.180.100': {'city': 'Ashburn', 'state': 'Virginia'}, '208.69.181.100': {'city': 'Rockville', 'state': 'Maryland'}}
COMCAST_AS7922, 208.166.48.0/21, {'208.166.48.100': {'city': 'Baltimore', 'state': 'Maryland'}, '208.166.51.100': {'city': 'Ashburn', 'state': 'Virginia'}, '208.166.54.100': {'city': 'Ashburn', 'state': 'Virginia'}}
COMCAST_AS7922, 208.69.176.0/23, {'208.69.176.100': {'city': 'Baltimore', 'state': 'Maryland'}, '208.69.177.100': {'city': 'Baltimore', 'state': 'Maryland'}}
COMCAST_AS7922, 162.148.108.0/23, {'162.148.108.100': {'city': 'Newark', 'state': 'New Jersey'}, '162.148.109.100': {'city': None, 'state': None}}
COMCAST_AS7922, 208.69.182.0/23, {'208.69.182.100': {'city': 'Baltimore', 'state': 'Maryland'}, '208.69.183.100': {'city': 'Baltimore', 'state': 'Maryland'}}
COMCAST_AS7922, 208.69.178.0/23, {'208.69.178.100': {'city': 'Baltimore', 'state': 'Maryland'}, '208.69.179.100': {'city': 'Rockville', 'state': 'Maryland'}}
COMCAST_AS7922, 96.116.196.0/22, {'96.116.196.100': {'city': 'Newark', 'state': 'New Jersey'}, '96.116.199.100': {'city': 'Newark', 'state': 'New Jersey'}}
COMCAST_AS7922, 208.166.57.0/24, {'208.166.57.50': {'city': 'Baltimore', 'state': 'Maryland'}, '208.166.57.150': {'city': 'Baltimore', 'state': 'Maryland'}}
COMCAST_AS7922, 208.166.56.0/24, {'208.166.56.50': {'city': 'Baltimore', 'state': 'Maryland'}, '208.166.56.150': {'city': 'Baltimore', 'state': 'Maryland'}}
WINDSTREAM_AS7029, 45.150.220.0/24, {'45.150.220.50': {'city': 'Ashburn', 'state': 'Virginia'}, '45.150.220.150': {'city': 'Washington', 'state': 'Virginia'}}
WINDSTREAM_AS7029, 40.131.2.0/23, {'40.131.2.100': {'city': None, 'state': None}, '40.131.3.100': {'city': 'Lincoln', 'state': 'Nebraska'}}
WINDSTREAM_AS7029, 45.150.221.0/24, {'45.150.221.50': {'city': 'Rockville', 'state': 'Maryland'}, '45.150.221.150': {'city': 'Rockville', 'state': 'Maryland'}}
WINDSTREAM_AS7029, 63.250.224.0/20, {'63.250.224.100': {'city': 'Little Rock', 'state': 'Arkansas'}, '63.250.230.100': {'city': 'Little Rock', 'state': 'Arkansas'}, '63.250.236.100': {'city': 'Little Rock', 'state': 'Arkansas'}}
WINDSTREAM_AS7029, 45.150.222.0/24, {'45.150.222.50': {'city': 'Dahlonega', 'state': 'Georgia'}, '45.150.222.150': {'city': 'Baltimore', 'state': 'Maryland'}}
WINDSTREAM_AS7029, 23.143.16.0/24, {'23.143.16.50': {'city': 'Colonial Heights', 'state': 'Virginia'}, '23.143.16.150': {'city': 'Rockville', 'state': 'Maryland'}}
WINDSTREAM_AS7029, 207.222.3.0/24, {'207.222.3.50': {'city': 'Anniston', 'state': 'Alabama'}, '207.222.3.150': {'city': 'Anniston', 'state': 'Alabama'}}
WINDSTREAM_AS7029, 63.250.240.0/20, {'63.250.240.100': {'city': 'Little Rock', 'state': 'Arkansas'}, '63.250.246.100': {'city': 'Chicago', 'state': 'Illinois'}, '63.250.252.100': {'city': 'Des Plaines', 'state': 'Illinois'}}
WINDSTREAM_AS7029, 209.242.46.0/24, {'209.242.46.50': {'city': 'Lake in the Hills', 'state': 'Illinois'}, '209.242.46.150': {'city': 'Lake in the Hills', 'state': 'Illinois'}}
WINDSTREAM_AS7029, 72.251.54.0/23, {'72.251.54.100': {'city': 'Chicago', 'state': 'Illinois'}, '72.251.55.100': {'city': 'Chicago', 'state': 'Illinois'}}
WINDSTREAM_AS7029, 65.168.145.0/24, {'65.168.145.50': {'city': 'Elkhart', 'state': 'Indiana'}, '65.168.145.150': {'city': 'Elkhart', 'state': 'Indiana'}}
WINDSTREAM_AS7029, 205.232.204.0/23, {'205.232.204.100': {'city': 'Seattle', 'state': 'Washington'}, '205.232.205.100': {'city': 'Franklinton', 'state': 'Louisiana'}}
WINDSTREAM_AS7029, 72.251.112.0/23, {'72.251.112.100': {'city': 'Chicago', 'state': 'Illinois'}, '72.251.113.100': {'city': 'Chicago', 'state': 'Illinois'}}
WINDSTREAM_AS7029, 208.139.169.0/24, {'208.139.169.50': {'city': 'Atlantic City', 'state': 'New Jersey'}, '208.139.169.150': {'city': 'Atlantic City', 'state': 'New Jersey'}}
WINDSTREAM_AS7029, 72.251.108.0/23, {'72.251.108.100': {'city': 'Chicago', 'state': 'Illinois'}, '72.251.109.100': {'city': 'Chicago', 'state': 'Illinois'}}
WINDSTREAM_AS7029, 23.142.176.0/24, {'23.142.176.50': {'city': 'Washington', 'state': 'Virginia'}, '23.142.176.150': {'city': 'Rockville', 'state': 'Maryland'}}
WINDSTREAM_AS7029, 72.251.100.0/22, {'72.251.100.100': {'city': 'Chicago', 'state': 'Illinois'}, '72.251.103.100': {'city': 'Chicago', 'state': 'Illinois'}}
WINDSTREAM_AS7029, 209.255.166.0/24, {'209.255.166.50': {'city': 'Jacksonville', 'state': 'Florida'}, '209.255.166.150': {'city': 'Concord', 'state': 'North Carolina'}}
CENTURYLINK_AS209, 69.69.247.0/24, {'69.69.247.50': {'city': None, 'state': None}, '69.69.247.150': {'city': 'Lady Lake', 'state': 'Florida'}}
