ISP_ASN, prefix, {geolocation}
FRONTIER_AS5650, 96.226.148.0/24, {'96.226.148.50': {'city': 'Flower Mound', 'state': 'Texas'}, '96.226.148.150': {'city': 'Flower Mound', 'state': 'Texas'}}
FRONTIER_AS5650, 66.12.73.0/24, {'66.12.73.50': {'city': None, 'state': None}, '66.12.73.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 208.76.188.0/24, {'208.76.188.50': {'city': None, 'state': None}, '208.76.188.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 66.14.149.0/24, {'66.14.149.50': {'city': None, 'state': None}, '66.14.149.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 66.12.242.0/24, {'66.12.242.50': {'city': None, 'state': None}, '66.12.242.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 172.108.99.0/24, {'172.108.99.50': {'city': 'Kingsland', 'state': 'Texas'}, '172.108.99.150': {'city': 'Kingsland', 'state': 'Texas'}}
FRONTIER_AS5650, 173.59.164.0/24, {'173.59.164.50': {'city': 'Ozona', 'state': 'Texas'}, '173.59.164.150': {'city': 'Ozona', 'state': 'Texas'}}
FRONTIER_AS5650, 66.12.12.0/24, {'66.12.12.50': {'city': None, 'state': None}, '66.12.12.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 172.108.97.0/24, {'172.108.97.50': {'city': 'Brownwood', 'state': 'Texas'}, '172.108.97.150': {'city': 'Brownwood', 'state': 'Texas'}}
FRONTIER_AS5650, 66.14.82.0/24, {'66.14.82.50': {'city': 'Denton', 'state': 'Texas'}, '66.14.82.150': {'city': 'Denton', 'state': 'Texas'}}
FRONTIER_AS5650, 71.169.223.0/24, {'71.169.223.50': {'city': None, 'state': None}, '71.169.223.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 108.37.77.0/24, {'108.37.77.50': {'city': 'San Angelo', 'state': 'Texas'}, '108.37.77.150': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 66.13.243.0/24, {'66.13.243.50': {'city': None, 'state': None}, '66.13.243.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 66.13.169.0/24, {'66.13.169.50': {'city': None, 'state': None}, '66.13.169.150': {'city': None, 'state': None}}
