ISP_ASN, prefix, {geolocation}
CENTURYLINK_AS209, 209.136.253.0/24, {'209.136.253.50': {'city': 'Memphis', 'state': 'Tennessee'}, '209.136.253.150': {'city': 'Memphis', 'state': 'Tennessee'}}
CENTURYLINK_AS209, 209.144.103.0/24, {'209.144.103.50': {'city': 'Marina del Rey', 'state': 'California'}, '209.144.103.150': {'city': 'Marina del Rey', 'state': 'California'}}
CENTURYLINK_AS209, 209.136.254.0/24, {'209.136.254.50': {'city': 'Memphis', 'state': 'Tennessee'}, '209.136.254.150': {'city': 'Memphis', 'state': 'Tennessee'}}
CENTURYLINK_AS209, 205.169.39.0/24, {'205.169.39.50': {'city': 'Hamilton', 'state': 'Ontario'}, '205.169.39.150': {'city': 'Hamilton', 'state': 'Ontario'}}
CENTURYLINK_AS209, 184.0.196.0/24, {'184.0.196.50': {'city': 'Rolla', 'state': 'Missouri'}, '184.0.196.150': {'city': 'Rolla', 'state': 'Missouri'}}
CENTURYLINK_AS209, 75.171.71.0/24, {'75.171.71.50': {'city': None, 'state': None}, '75.171.71.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 74.5.248.0/24, {'74.5.248.50': {'city': 'North Fort Myers', 'state': 'Florida'}, '74.5.248.150': {'city': 'North Fort Myers', 'state': 'Florida'}}
CENTURYLINK_AS209, 24.223.77.0/24, {'24.223.77.50': {'city': None, 'state': None}, '24.223.77.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 68.233.52.0/24, {'68.233.52.50': {'city': None, 'state': None}, '68.233.52.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 209.136.252.0/24, {'209.136.252.50': {'city': 'Memphis', 'state': 'Tennessee'}, '209.136.252.150': {'city': 'Memphis', 'state': 'Tennessee'}}
CENTURYLINK_AS209, 75.171.72.0/24, {'75.171.72.50': {'city': None, 'state': None}, '75.171.72.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 68.233.61.0/24, {'68.233.61.50': {'city': None, 'state': None}, '68.233.61.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 75.171.65.0/24, {'75.171.65.50': {'city': None, 'state': None}, '75.171.65.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 67.238.56.0/24, {'67.238.56.50': {'city': 'Arcadia', 'state': 'Florida'}, '67.238.56.150': {'city': 'Arcadia', 'state': 'Florida'}}
CENTURYLINK_AS209, 104.89.170.0/24, {'104.89.170.50': {'city': None, 'state': None}, '104.89.170.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 47.152.20.0/22, {'47.152.20.100': {'city': 'Morgan Hill', 'state': 'California'}, '47.152.23.100': {'city': 'Gilroy', 'state': 'California'}}
FRONTIER_AS5650, 209.142.80.0/22, {'209.142.80.100': {'city': 'Brooklyn', 'state': 'New York'}, '209.142.83.100': {'city': 'Brooklyn', 'state': 'New York'}}
FRONTIER_AS5650, 76.191.97.0/24, {'76.191.97.50': {'city': None, 'state': None}, '76.191.97.150': {'city': None, 'state': None}}
FRONTIER_AS5650, 172.108.124.0/24, {'172.108.124.50': {'city': 'Georgetown', 'state': 'Texas'}, '172.108.124.150': {'city': 'Georgetown', 'state': 'Texas'}}
FRONTIER_AS5650, 107.155.202.0/23, {'107.155.202.100': {'city': None, 'state': None}, '107.155.203.100': {'city': None, 'state': None}}
FRONTIER_AS5650, 47.154.36.0/23, {'47.154.36.100': {'city': 'Morgan Hill', 'state': 'California'}, '47.154.37.100': {'city': 'Gilroy', 'state': 'California'}}
FRONTIER_AS5650, 107.155.193.0/24, {'107.155.193.50': {'city': 'Jersey City', 'state': 'New Jersey'}, '107.155.193.150': {'city': 'Jersey City', 'state': 'New Jersey'}}
FRONTIER_AS5650, 47.152.180.0/23, {'47.152.180.100': {'city': 'Morgan Hill', 'state': 'California'}, '47.152.181.100': {'city': 'Gilroy', 'state': 'California'}}
FRONTIER_AS5650, 47.155.18.0/23, {'47.155.18.100': {'city': 'Gilroy', 'state': 'California'}, '47.155.19.100': {'city': 'Gilroy', 'state': 'California'}}
FRONTIER_AS5650, 47.155.140.0/23, {'47.155.140.100': {'city': 'Gilroy', 'state': 'California'}, '47.155.141.100': {'city': 'San Jose', 'state': 'California'}}
FRONTIER_AS5650, 23.226.217.0/24, {'23.226.217.50': {'city': 'Ypsilanti', 'state': 'Michigan'}, '23.226.217.150': {'city': 'Ypsilanti', 'state': 'Michigan'}}
GOOGLE-FIBRE_AS16591, 136.36.80.0/20, {'136.36.80.100': {'city': 'Salt Lake City', 'state': 'Utah'}, '136.36.86.100': {'city': 'Salt Lake City', 'state': 'Utah'}, '136.36.92.100': {'city': 'Salt Lake City', 'state': 'Utah'}}
GOOGLE-FIBRE_AS16591, 136.53.0.0/20, {'136.53.0.100': {'city': 'Huntsville', 'state': 'Alabama'}, '136.53.6.100': {'city': 'Owens Cross Roads', 'state': 'Alabama'}, '136.53.12.100': {'city': 'Owens Cross Roads', 'state': 'Alabama'}}
