ISP_ASN, prefix, {geolocation}
CENTURYLINK_AS209, 67.16.94.0/24, {'67.16.94.50': {'city': 'Dallas', 'state': 'Texas'}, '67.16.94.150': {'city': 'Dallas', 'state': 'Texas'}}
CENTURYLINK_AS209, 67.16.82.0/24, {'67.16.82.50': {'city': 'Monroe', 'state': 'Louisiana'}, '67.16.82.150': {'city': 'Monroe', 'state': 'Louisiana'}}
CENTURYLINK_AS209, 67.16.81.0/24, {'67.16.81.50': {'city': 'Monroe', 'state': 'Louisiana'}, '67.16.81.150': {'city': 'Monroe', 'state': 'Louisiana'}}
CENTURYLINK_AS209, 67.16.93.0/24, {'67.16.93.50': {'city': 'Monroe', 'state': 'Louisiana'}, '67.16.93.150': {'city': 'Monroe', 'state': 'Louisiana'}}
CENTURYLINK_AS209, 198.60.164.0/22, {'198.60.164.100': {'city': 'Tucson', 'state': 'Arizona'}, '198.60.167.100': {'city': 'Phoenix', 'state': 'Arizona'}}
CENTURYLINK_AS209, 199.104.208.0/21, {'199.104.208.100': {'city': 'Phoenix', 'state': 'Arizona'}, '199.104.211.100': {'city': 'Phoenix', 'state': 'Arizona'}, '199.104.214.100': {'city': 'Phoenix', 'state': 'Arizona'}}
CENTURYLINK_AS209, 67.16.86.0/24, {'67.16.86.50': {'city': 'Monroe', 'state': 'Louisiana'}, '67.16.86.150': {'city': 'Monroe', 'state': 'Louisiana'}}
CENTURYLINK_AS209, 65.126.147.0/24, {'65.126.147.50': {'city': 'Tacoma', 'state': 'Washington'}, '65.126.147.150': {'city': 'Tacoma', 'state': 'Washington'}}
CENTURYLINK_AS209, 199.248.197.0/24, {'199.248.197.50': {'city': 'Arlington', 'state': 'Virginia'}, '199.248.197.150': {'city': 'Arlington', 'state': 'Virginia'}}
CENTURYLINK_AS209, 216.152.108.0/24, {'216.152.108.50': {'city': 'Tallahassee', 'state': 'Florida'}, '216.152.108.150': {'city': 'Tallahassee', 'state': 'Florida'}}
CENTURYLINK_AS209, 198.175.243.0/24, {'198.175.243.50': {'city': 'Indianapolis', 'state': 'Indiana'}, '198.175.243.150': {'city': 'Indianapolis', 'state': 'Indiana'}}
CENTURYLINK_AS209, 216.226.198.0/24, {'216.226.198.50': {'city': 'Reno', 'state': 'Nevada'}, '216.226.198.150': {'city': 'Reno', 'state': 'Nevada'}}
CENTURYLINK_AS209, 200.10.155.0/24, {'200.10.155.50': {'city': 'Indianapolis', 'state': 'Indiana'}, '200.10.155.150': {'city': 'Indianapolis', 'state': 'Indiana'}}
CENTURYLINK_AS209, 216.160.156.0/23, {'216.160.156.100': {'city': 'Denver', 'state': 'Colorado'}, '216.160.157.100': {'city': 'Denver', 'state': 'Colorado'}}
CENTURYLINK_AS209, 198.60.176.0/22, {'198.60.176.100': {'city': 'Tucson', 'state': 'Arizona'}, '198.60.179.100': {'city': 'Tucson', 'state': 'Arizona'}}
CENTURYLINK_AS209, 67.16.91.0/24, {'67.16.91.50': {'city': 'Monroe', 'state': 'Louisiana'}, '67.16.91.150': {'city': 'Monroe', 'state': 'Louisiana'}}
CENTURYLINK_AS209, 76.6.56.0/22, {'76.6.56.100': {'city': 'Newark', 'state': 'New Jersey'}, '76.6.59.100': {'city': 'Newark', 'state': 'New Jersey'}}
CENTURYLINK_AS209, 67.16.95.0/24, {'67.16.95.50': {'city': 'Monroe', 'state': 'Louisiana'}, '67.16.95.150': {'city': 'Monroe', 'state': 'Louisiana'}}
CENTURYLINK_AS209, 65.125.45.0/24, {'65.125.45.50': {'city': 'Sioux Falls', 'state': 'South Dakota'}, '65.125.45.150': {'city': 'Atlantic City', 'state': 'New Jersey'}}
CENTURYLINK_AS209, 65.125.44.0/24, {'65.125.44.50': {'city': 'Sioux Falls', 'state': 'South Dakota'}, '65.125.44.150': {'city': 'Sioux Falls', 'state': 'South Dakota'}}
CENTURYLINK_AS209, 67.16.90.0/24, {'67.16.90.50': {'city': 'Monroe', 'state': 'Louisiana'}, '67.16.90.150': {'city': 'Monroe', 'state': 'Louisiana'}}
CENTURYLINK_AS209, 64.192.112.0/24, {'64.192.112.50': {'city': 'Dallas', 'state': 'Texas'}, '64.192.112.150': {'city': 'Dallas', 'state': 'Texas'}}
CENTURYLINK_AS209, 64.192.113.0/24, {'64.192.113.50': {'city': 'Dallas', 'state': 'Texas'}, '64.192.113.150': {'city': 'Dallas', 'state': 'Texas'}}
CENTURYLINK_AS209, 216.152.111.0/24, {'216.152.111.50': {'city': 'Tallahassee', 'state': 'Florida'}, '216.152.111.150': {'city': 'Tallahassee', 'state': 'Florida'}}
CENTURYLINK_AS209, 198.60.180.0/23, {'198.60.180.100': {'city': 'Phoenix', 'state': 'Arizona'}, '198.60.181.100': {'city': 'Phoenix', 'state': 'Arizona'}}
CENTURYLINK_AS209, 198.60.163.0/24, {'198.60.163.50': {'city': 'Phoenix', 'state': 'Arizona'}, '198.60.163.150': {'city': 'Phoenix', 'state': 'Arizona'}}
CENTURYLINK_AS209, 198.60.182.0/24, {'198.60.182.50': {'city': 'Tucson', 'state': 'Arizona'}, '198.60.182.150': {'city': 'Tucson', 'state': 'Arizona'}}
CENTURYLINK_AS209, 207.189.150.0/24, {'207.189.150.50': {'city': 'Houston', 'state': 'Texas'}, '207.189.150.150': {'city': 'Houston', 'state': 'Texas'}}
CENTURYLINK_AS209, 67.16.83.0/24, {'67.16.83.50': {'city': 'Monroe', 'state': 'Louisiana'}, '67.16.83.150': {'city': 'Monroe', 'state': 'Louisiana'}}
SUDDENLINK_AS19108, 64.72.34.0/24, {'64.72.34.50': {'city': 'Lexington', 'state': 'Missouri'}, '64.72.34.150': {'city': 'Lexington', 'state': 'Missouri'}}
