ISP_ASN, prefix, {geolocation}
GRANDE_AS7459, 67.198.12.0/22, {'67.198.12.100': {'city': 'Austin', 'state': 'Texas'}, '67.198.15.100': {'city': 'Austin', 'state': 'Texas'}}
GRANDE_AS7459, 216.82.192.0/24, {'216.82.192.50': {'city': 'Austin', 'state': 'Texas'}, '216.82.192.150': {'city': 'Austin', 'state': 'Texas'}}
GRANDE_AS7459, 65.36.33.0/24, {'65.36.33.50': {'city': 'Odessa', 'state': 'Texas'}, '65.36.33.150': {'city': 'Odessa', 'state': 'Texas'}}
GRANDE_AS7459, 67.198.56.0/23, {'67.198.56.100': {'city': 'Fort Worth', 'state': 'Texas'}, '67.198.57.100': {'city': 'Carrollton', 'state': 'Texas'}}
GRANDE_AS7459, 72.48.92.0/24, {'72.48.92.50': {'city': 'Lewisville', 'state': 'Texas'}, '72.48.92.150': {'city': 'Lewisville', 'state': 'Texas'}}
GRANDE_AS7459, 130.45.12.0/23, {'130.45.12.100': {'city': 'Frisco', 'state': 'Texas'}, '130.45.13.100': {'city': 'Lewisville', 'state': 'Texas'}}
GRANDE_AS7459, 72.48.79.0/24, {'72.48.79.50': {'city': 'Waco', 'state': 'Texas'}, '72.48.79.150': {'city': 'Waco', 'state': 'Texas'}}
GRANDE_AS7459, 65.111.120.0/23, {'65.111.120.100': {'city': 'Temple', 'state': 'Texas'}, '65.111.121.100': {'city': 'Temple', 'state': 'Texas'}}
GRANDE_AS7459, 130.45.26.0/23, {'130.45.26.100': {'city': 'Corpus Christi', 'state': 'Texas'}, '130.45.27.100': {'city': 'Corpus Christi', 'state': 'Texas'}}
GRANDE_AS7459, 130.45.125.0/24, {'130.45.125.50': {'city': 'Fort Worth', 'state': 'Texas'}, '130.45.125.150': {'city': 'Fort Worth', 'state': 'Texas'}}
GRANDE_AS7459, 130.45.1.0/24, {'130.45.1.50': {'city': 'Corpus Christi', 'state': 'Texas'}, '130.45.1.150': {'city': 'Corpus Christi', 'state': 'Texas'}}
GRANDE_AS7459, 24.155.10.0/24, {'24.155.10.50': {'city': 'Waco', 'state': 'Texas'}, '24.155.10.150': {'city': 'Waco', 'state': 'Texas'}}
GRANDE_AS7459, 72.48.32.0/21, {'72.48.32.100': {'city': 'Temple', 'state': 'Texas'}, '72.48.35.100': {'city': 'Temple', 'state': 'Texas'}, '72.48.38.100': {'city': 'Temple', 'state': 'Texas'}}
GRANDE_AS7459, 67.198.114.0/24, {'67.198.114.50': {'city': 'San Antonio', 'state': 'Texas'}, '67.198.114.150': {'city': 'San Antonio', 'state': 'Texas'}}
GRANDE_AS7459, 65.111.104.0/24, {'65.111.104.50': {'city': 'Temple', 'state': 'Texas'}, '65.111.104.150': {'city': 'Temple', 'state': 'Texas'}}
GRANDE_AS7459, 72.48.62.0/24, {'72.48.62.50': {'city': 'Austin', 'state': 'Texas'}, '72.48.62.150': {'city': 'Austin', 'state': 'Texas'}}
GRANDE_AS7459, 65.111.98.0/24, {'65.111.98.50': {'city': 'Dallas', 'state': 'Texas'}, '65.111.98.150': {'city': 'Dallas', 'state': 'Texas'}}
GRANDE_AS7459, 66.90.137.0/24, {'66.90.137.50': {'city': 'Austin', 'state': 'Texas'}, '66.90.137.150': {'city': 'Austin', 'state': 'Texas'}}
GRANDE_AS7459, 66.90.210.0/23, {'66.90.210.100': {'city': 'Odessa', 'state': 'Texas'}, '66.90.211.100': {'city': 'Odessa', 'state': 'Texas'}}
GRANDE_AS7459, 24.155.208.0/21, {'24.155.208.100': {'city': 'Waco', 'state': 'Texas'}, '24.155.211.100': {'city': 'Waco', 'state': 'Texas'}, '24.155.214.100': {'city': 'Waco', 'state': 'Texas'}}
GRANDE_AS7459, 72.48.243.0/24, {'72.48.243.50': {'city': 'Midland', 'state': 'Texas'}, '72.48.243.150': {'city': 'Midland', 'state': 'Texas'}}
GRANDE_AS7459, 24.155.228.0/23, {'24.155.228.100': {'city': 'Austin', 'state': 'Texas'}, '24.155.229.100': {'city': 'Austin', 'state': 'Texas'}}
GRANDE_AS7459, 24.155.132.0/23, {'24.155.132.100': {'city': 'Temple', 'state': 'Texas'}, '24.155.133.100': {'city': 'Temple', 'state': 'Texas'}}
GRANDE_AS7459, 67.198.62.0/24, {'67.198.62.50': {'city': 'Frisco', 'state': 'Texas'}, '67.198.62.150': {'city': 'Frisco', 'state': 'Texas'}}
GRANDE_AS7459, 66.196.24.0/22, {'66.196.24.100': {'city': 'Corpus Christi', 'state': 'Texas'}, '66.196.27.100': {'city': 'Odessa', 'state': 'Texas'}}
