ISP_ASN, prefix, {geolocation}
COMCAST_AS7922, 76.96.228.0/23, {'76.96.228.100': {'city': 'Ashburn', 'state': 'Virginia'}, '76.96.229.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.115.176.0/20, {'96.115.176.100': {'city': 'Chicago', 'state': 'Illinois'}, '96.115.182.100': {'city': 'Chicago', 'state': 'Illinois'}, '96.115.188.100': {'city': 'Chicago', 'state': 'Illinois'}}
COMCAST_AS7922, 69.139.178.0/23, {'69.139.178.100': {'city': 'Northlake', 'state': 'Illinois'}, '69.139.179.100': {'city': 'Northlake', 'state': 'Illinois'}}
COMCAST_AS7922, 69.139.204.0/24, {'69.139.204.50': {'city': 'New York City', 'state': 'New York'}, '69.139.204.150': {'city': 'Chicago', 'state': 'Illinois'}}
COMCAST_AS7922, 69.241.62.0/23, {'69.241.62.100': {'city': 'Denver', 'state': 'Colorado'}, '69.241.63.100': {'city': 'Denver', 'state': 'Colorado'}}
COMCAST_AS7922, 96.113.246.0/23, {'96.113.246.100': {'city': 'Seattle', 'state': 'Washington'}, '96.113.247.100': {'city': 'Seattle', 'state': 'Washington'}}
COMCAST_AS7922, 69.252.213.0/24, {'69.252.213.50': {'city': 'New York City', 'state': 'New York'}, '69.252.213.150': {'city': 'Fond du Lac', 'state': 'Wisconsin'}}
COMCAST_AS7922, 162.151.66.0/23, {'162.151.66.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '162.151.67.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.113.172.0/24, {'96.113.172.50': {'city': 'Denver', 'state': 'Colorado'}, '96.113.172.150': {'city': 'Denver', 'state': 'Colorado'}}
COMCAST_AS7922, 162.151.77.0/24, {'162.151.77.50': {'city': 'Gainesville', 'state': 'Florida'}, '162.151.77.150': {'city': 'New York City', 'state': 'New York'}}
COMCAST_AS7922, 96.108.16.0/22, {'96.108.16.100': {'city': 'Lakewood', 'state': 'Washington'}, '96.108.19.100': {'city': 'Hillsboro', 'state': 'Oregon'}}
COMCAST_AS7922, 96.113.228.0/22, {'96.113.228.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '96.113.231.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 24.124.164.0/22, {'24.124.164.100': {'city': 'Northlake', 'state': 'Illinois'}, '24.124.167.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.113.237.0/24, {'96.113.237.50': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '96.113.237.150': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.109.39.0/24, {'96.109.39.50': {'city': 'Denver', 'state': 'Colorado'}, '96.109.39.150': {'city': 'Denver', 'state': 'Colorado'}}
