ISP_ASN, prefix, {geolocation}
COMCAST_AS7922, 96.118.224.0/19, {'96.118.224.100': {'city': None, 'state': None}, '96.118.239.100': {'city': None, 'state': None}, '96.118.254.100': {'city': None, 'state': None}}
COMCAST_AS7922, 68.87.20.0/22, {'68.87.20.100': {'city': None, 'state': None}, '68.87.23.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.110.128.0/22, {'96.110.128.100': {'city': None, 'state': None}, '96.110.131.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.112.72.0/21, {'96.112.72.100': {'city': None, 'state': None}, '96.112.75.100': {'city': None, 'state': None}, '96.112.78.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.114.240.0/22, {'96.114.240.100': {'city': None, 'state': None}, '96.114.243.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.114.111.0/24, {'96.114.111.50': {'city': None, 'state': None}, '96.114.111.150': {'city': None, 'state': None}}
COMCAST_AS7922, 162.151.240.0/24, {'162.151.240.50': {'city': None, 'state': None}, '162.151.240.150': {'city': None, 'state': None}}
COMCAST_AS7922, 96.114.212.0/23, {'96.114.212.100': {'city': None, 'state': None}, '96.114.213.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.99.180.0/22, {'96.99.180.100': {'city': None, 'state': None}, '96.99.183.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.114.120.0/21, {'96.114.120.100': {'city': None, 'state': None}, '96.114.123.100': {'city': None, 'state': None}, '96.114.126.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.103.0.0/17, {'96.103.0.100': {'city': None, 'state': None}, '96.103.60.100': {'city': None, 'state': None}, '96.103.120.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.108.162.0/23, {'96.108.162.100': {'city': None, 'state': None}, '96.108.163.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.118.64.0/19, {'96.118.64.100': {'city': None, 'state': None}, '96.118.79.100': {'city': None, 'state': None}, '96.118.94.100': {'city': None, 'state': None}}
COMCAST_AS7922, 69.139.236.0/22, {'69.139.236.100': {'city': None, 'state': None}, '69.139.239.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.113.30.0/24, {'96.113.30.50': {'city': None, 'state': None}, '96.113.30.150': {'city': None, 'state': None}}
